german;english;level;example;example_en;rank
zwangsläufig;compulsory|inevitable;C1;Eine Tafel muss nicht zwangsläufig schwarz sein.;A blackboard doesn't have to be black.;9012
empören;to be outraged|to outrage;C1;Sie war empört als ich sagte, dass sie lügt.;She was indignant when I said she was lying.;9013
die Vorhersage;prediction|forecast;C1;Die Vorhersagen für die Weltwirtschaft werden düsterer.;Forecasts of the global economic outlook are becoming gloomier.;9014
das Kopfkissen;pillow;C1;Sie hat das Buch unter ihrem Kopfkissen versteckt.;She hid the book under her pillow.;9015
ungläubig;incredulous|skeptical|infidel|unbelieving|unfaithful;C1;Es herrschte ungläubiges Staunen über die Vorstellung.;There was incredulous astonishment at the performance.;9016
die Partikel;particle;C1;Diese Partikel verwandelt ein Nomen in ein Verb.;This particle turns a noun into a verb.;9017
das Partikel;particle;C1;Kleine Partikel in der Luft können Krebs verursachen.;Tiny particles in the air can cause cancer.;9018
empört;indignant|upset;C1;Wenn man nicht empört ist, achtet man nicht drauf.;If you're not outraged, you're not paying attention.;9019
führend;leading|foremost;C1;Tom ist ein führender Experte auf seinem Gebiet.;Tom is a leading expert in his field.;9020
hiesig;local|of|from here;C1;Die hiesigen Künstler sind sehr talentiert.;The local artists are very talented.;9021
der Golfplatz;golf course;C1;Gibt es hier in der Nähe einen Golfplatz?;Is there a golf course near here?;9022
verblüfft;stunned|flabbergasted|perplexed|bemused;C1;Er verblüffte alle mit dem Bestehen seiner Fahrprüfung.;He amazed everyone by passing his driving test.;9023
der Schimpf;insult|affront|scolding|shaming|humiliation;C1;Hör mit dem Schimpfen auf und tu etwas!;Stop moaning and do something.;9024
der Ungläubiger;infidel|heathen|disbeliever|unbeliever|nonbeliever;C1;Sind Sie ein absoluter Ungläubiger oder glauben Sie an den Zufall?;Are you a total unbeliever or do you believe in Chance?;9025
der Buckel;boss|hump|back;C1;Die Katze machte einen Buckel und streckte sich.;The cat arched its back and stretched itself.;9026
der Staatsbürger;citizen;C1;Er ist englischer Staatsbürger, aber wohnt in Indien.;He is a British citizen, but lives in India.;9027
das Müsli;muesli|granola;C1;Ich nehme ein Müsli und einen Orangensaft.;I'll have some cereal and orange juice.;9028
die Vogelscheuche;scarecrow;C1;Beruhige dich, es ist nur eine Vogelscheuche.;Relax, it's just a scarecrow.;9029
uralt;very old|ancient;C1;Diese uralte Stadt wurde von den Römern erbaut.;This ancient city was built by the Romans.;9030
die Währung;currency|bank notes and cents|die Münzen und Banknoten;C1;Die Währung in vielen europäischen Ländern ist Euro.;The currency in many of the European countries is Euro.;9031
verseuchen;to contaminate;C1;Der Fluss ist mit Fabrikabfällen verseucht.;This river is polluted with factory waste.;9032
durchqueren;to cross|to walk across;C1;Es gelang uns, den Fluss schwimmend zu durchqueren.;We managed to swim across the river.;9033
der Philosoph;philosopher;C1;Wer war der größte Philosoph, der jemals lebte?;Who was the greatest philosopher that ever lived?;9034
abschleppen;to tow|to tow away|to pick up;C1;Ich habe fremde Schuhe im Schuhregal gesehen und wusste: Meine Tochter hat schon wieder irgendein Mädchen abgeschleppt.;I saw unfamiliar shoes in the shoe shelf and I knew my daughter must've hooked up with some girl again.;9035
das Jubiläum;an anniversary|a jubilee;C1;Unsere Firma feierte das 40-jährige Jubiläum ihrer Gründung.;Our company had the fortieth anniversary of its foundation.;9036
brillanten;of brilliants;C1;Er wurde zu einem brillanten Gelehrten, aber dies auf Kosten seiner Gesundheit.;He became a brilliant scholar, but only at the expense of his health.;9037
vorherig;previous|former|prior|earlier;C1;Solche wichtigen Entscheidungen dürfen Sie nur nach vorheriger Absprache treffen.;You’re allowed to take such important decisions only after prior consultation.;9038
die Eroberung;conquest|capture;C1;Die Eroberung Konstantinopels markiert das Ende des Mittelalters.;The conquest of Constantinople marks the end of the Middle Ages.;9039
das Selbstbewusstsein;aplomb|self-assurance|self-confidence|self-awareness;C1;Tom scheint über keinerlei Selbstbewusstsein zu verfügen.;Tom doesn't seem to have any self-confidence.;9040
der Insider;insider|in-joke|inside joke;C1;Das verstehst du nicht. Ist ein Insider bei uns.;You won’t understand this. It’s an in-joke among us.;9041
unlogisch;illogical;C1;Ich finde deine Argumente unlogisch.;I find your arguments illogical.;9042
die Dekoration;decoration;C1;Um die Dekoration hat sich überwiegend Maria gekümmert.;Mary did most of the decorating.;9043
der Wahn;delusion|illusion|hope;C1;Der Wahn ist kurz, die Reu' ist lang.;Delusion is short-lived, but remorse lasts a long time.;9044
bügeln;to iron;C1;Ich habe die Falten aus meiner Hose gebügelt.;I ironed out the wrinkles in my pants.;9045
schikanieren;to bully|to harass;C1;Ich sah, wie einige Mädchen sie schikanierten.;I saw some girls bully her.;9046
futsch;down the drain|gone|away;C1;Und futsch ist meine letzte Chance.;There goes my last chance.;9047
entsichern;to release the safety;C1;;;9048
fohlen;to foal;C1;Meine Stute hat gefohlt.;My mare foaled.;9049
flüssig;fluid|liquid|molten|fluent|solvent;C1;Auch nach fünf Jahren in Thailand kann ich kein flüssiges Thai sprechen.;Even after five years in Thailand, I cannot speak fluent Thai.;9050
die Versöhnung;reconciliation;C1;Diese Annäherungen führten schließlich zur Versöhnung beider Völker.;These rapprochements eventually led to a reconciliation between the two peoples.;9051
aufrufen;to call up|to call;C1;Heben Sie die Hand, wenn ich Ihren Namen aufrufe.;Raise your hand when I call your name.;9052
das Nervensystem;nervous system;C1;;;9053
abwerfen;to throw down|to let fall|to drop|to throw off|to shed|to hit with the ball;C1;1945 wurde eine Atombombe auf Hiroshima abgeworfen.;An atomic bomb was dropped on Hiroshima in 1945.;9054
aufgerufen;invoked|accessed|called;C1;Der Lehrer hat die Schüler dem Alphabet nach aufgerufen.;The teacher called the students in alphabetical order.;9055
auskennen;to know one's way around|to know a lot;C1;Ich kenne mich in dieser Stadt/auf dieser Insel aus.;I know my way around this city/island.;9056
das Abwerfen;dropping|dump;C1;;;9057
die Formalität;formality;C1;Es handelte sich nur um eine Formalität.;It was a mere formality.;9058
unvorsichtig;incautious|careless;C1;Je mehr man trinkt, desto unvorsichtiger wird man.;The more you drink, the less careful you will be.;9059
der Ochse;ox;C1;Vom älteren Ochsen lernt der junge zu pflügen.;From the old ox, the young one learns to plow.;9060
die Großstadt;large city|big city|major city;C1;In einer Großstadt zu leben, hat viele Vorteile.;Living in a large city has many advantages.;9061
der Droide;droid;C1;;;9062
der Physiker;physicist;C1;Die Theorie geht auf einen achtundzwanzigjährigen Physiker zurück.;This theory originated with a twenty-eight-year-old physicist.;9063
vorzeitig;early|premature|untimely|prematurely|preterm;C1;Ich wüsste gerne, warum Tom vorzeitig weggegangen ist.;I wonder why Tom left early.;9064
ochsen;to swot|to cram|to bust ass;C1;;;9065
abdecken;to cover|to cover costs|to uncover|to untile;C1;Ich muss noch die Leiche abdecken.;Now I have to cover the corpse.;9066
selbstsicher;self-confident;C1;Gib acht, dass du nicht zu selbstsicher wirst!;You should be careful not to become overconfident.;9067
behüten;to protect;C1;Tom behütet seine Tochter, wo es nur geht.;Tom is very protective of his daughter.;9068
die Gebärmutter;womb|uterus;C1;Es gibt nur ihre Gebärmutter — und das Wesen darin.;There is but her womb ... and the baby within.;9069
die Dokumentation;documentation;C1;Ich habe gestern eine sehr interessante Dokumentation gesehen.;I saw a very interesting documentary yesterday.;9070
eindrucksvoll;impressive;C1;Der Petersdom gehört zu den eindrucksvollsten Bauwerken Italiens.;St Peter's basilica is one of Italy's most impressive monuments.;9071
die Besorgung;errand;C1;Ich muss nur noch eine Besorgung tätigen.;There's just one more thing I need to buy.;9072
die Verwandtschaft;kinship|relationship|extended family|kin|relatives|relation;C1;Zwischen beiden Müllers besteht keine Verwandtschaft.;There is no relationship between the two Müllers.;9073
die Fußspur;footprint;C1;Wir haben die Fußspuren im Sand gefunden.;We found the footprints in the sand.;9074
die Erschöpfung;depletion|exhaustion|fatigue;C1;Durch Erschöpfung und Schlafmangel ist er letztlich krank geworden.;What with fatigue and lack of sleep, he has fallen ill at last.;9075
distanzieren;to distance|to leave behind|to disavow|to repudiate;C1;Einige Autoren distanzieren sich von ihren frühen Werken.;Some authors distance themselves from their early work.;9076
distanziert;aloof;C1;Der neue Junge verhält sich distanziert, weil er uns nicht kennt.;The new boy is distant because he does not know us.;9077
zerschmettern;to smash|to smash up;C1;;;9078
die Intimität;intimacy;C1;Sex und Intimität sind oft zusammenhängende aber doch getrennte Begriffe.;Sex and intimacy are often related but separate concepts.;9079
dickköpfig;stubborn;C1;Tom kann manchmal dickköpfig und stur sein.;Tom can be pig-headed and stubborn at times.;9080
das Mineralwasser;mineral water|carbonated water;C1;Magst du lieber Bier, Vodka, Wein oder Mineralwasser?;Do you prefer beer, vodka, wine, or soda?;9081
die Diplomatie;diplomacy;C1;Unsere Diplomatie und Kriegsstrategie waren offensichtlich widersprüchlich.;Our diplomacy and strategy ran in clear contradiction to each other.;9082
parat;at hand|ready;C1;Sehen Sie zu, daß Sie alles parat haben!;Have everything ready.;9083
der Kanadier;Canadian|Canadian canoe|canoe;C1;Was gibt es bei Kanadiern gewöhnlich zum Mittagessen?;What do Canadians usually eat for lunch?;9084
überfluten;to flood;C1;Das Büro ist mit Fan-Post für ihn überflutet.;The office is flooded with fan letters for him.;9085
die Zuständigkeit;responsibility;C1;Das fällt in Ihre Zuständigkeit.;That's your responsibility.;9086
dumpf;dull|hollow|muffled|dead|vague|musty;C1;Sind die Bauchschmerzen dumpf, stechend, krampfartig oder sonst irgendwie?;Is your stomach pain dull, sharp, cramping, or something else?;9087
erforscht;explored|investigated;C1;Die Polizei erforschte die Vergangenheit des Verdächtigen.;The police were inquiring into the suspect's past.;9088
selbstbewusst;self-confident|self-assured|self-conscious|self-aware|confidently|assertively;C1;Wir vertrauen in unsere eigene Stärke und treten selbstbewusst auf.;We trust in our own strength and act self-confidently.;9089
das Besteck;cutlery|silverware|set of instruments|position of a ship;C1;Der Chirurg verlangte ein neues Besteck.;The surgeon demanded a new set of instruments.;9090
die Fiktion;fiction;C1;Er kann Realität und Fiktion nicht unterscheiden.;He can't discern fact from fiction.;9091
der Minderjähriger;minor;C1;Ein Minderjähriger ist abhängig von seinen Eltern.;A minor is dependent on his parents.;9092
der Canadier;Canadian canoe|canoe;C1;Misako hat im vorigen Juni einen Kanadier geheiratet.;Misako married a Canadian last June.;9093
die Autotür;car door;C1;Tom hörte, wie eine Autotür zugeschlagen wurde.;Tom heard a car door slam.;9094
die Minderjährige;minor;C1;Alkoholkonsum Minderjähriger ist ein ernstzunehmendes Problem.;Underage drinking is a serious problem.;9095
die Schräge;slant|tilt|inclination|incline|slope;C1;;;9096
das Abbild;image|reflection|picture|portrayal;C1;Das Baby war das genaue Abbild seiner Mutter.;The baby was the very image of his mother.;9097
der Klumpen;lump|clod;C1;Das Mehl sieben, um die Klumpen zu entfernen.;Sift the flour to remove the lumps.;9098
rasend;raging|frantic;C1;Ich bin heute morgen mit rasenden Kopfschmerzen aufgewacht.;I woke up this morning with a splitting headache.;9099
bisherig;previous|so far;C1;Britt dokumentierte in einem Video jeden bisherigen Tag ihrer Quarantäne.;Britt made a video documenting each day of her quarantine so far.;9100
die Maniküre;manicure;C1;Maria hat mir eine Maniküre gemacht.;Mary gave me a manicure.;9101
klumpen;to lump;C1;;;9102
die Landebahn;runway;C1;Das Flugzeug ist sicher auf der Landebahn gelandet.;The airplane landed safely on the runway.;9103
ratlos;clueless|at a loss;C1;Er war ratlos, welchen Weg er nehmen sollte.;He was at a loss which way to take.;9104
der Fußabdruck;footprint;C1;Die Polizei fand vor Toms Schlafzimmerfenster keine Fußabdrücke.;The police couldn't find any footprints outside Tom's bedroom window.;9105
der Abbruch;demolition|termination|discontinuation|abort;C1;Nichts kann dem Spaß einen Abbruch tun.;Nothing can spoil the fun.;9106
wiedergeben;to give back|to return|to render|to echo|to reproduce|to play;C1;Er hat mir das geliehene Geld wiedergegeben.;He gave me back the borrowed money.;9107
die Sechzehn;sixteen;C1;Isst du jetzt zu Mittag?! Sechzehn Uhr?!;Are you just eating lunch now?! At 4:00?!;9108
die Herzfrequenz;heart rate;C1;;;9109
die Courage;courage|guts|initiative;C1;Es erfordert viel Courage einzugestehen, dass man im Unrecht ist.;It takes a lot of courage to admit that you're wrong.;9110
der Bahnsteig;train platform;C1;Gehen Sie weiter bis zum Ende des Bahnsteigs.;Continue until the end of the platform.;9111
die Barriere;barrier;C1;Wir müssen hart arbeiten, um gesellschaftliche Barrieren niederzureißen.;We must work hard to break down social barriers.;9112
der Schluckauf;hiccup;C1;Von scharfen Essen bekomme ich einen Schluckauf.;Spicy food makes me hiccup.;9113
jaulen;to yelp|to howl|to yowl;C1;Der Hund jaulte, als Anna zu singen anfing.;The dog howled when Anna started singing.;9114
prägen;to mint|to shape|to characterize;C1;Albert Einsteins Relativitätstheorie prägte die moderne Wissenschaft.;Albert Einstein's theory of relativity marked modern science.;9115
konstruieren;to construct|to construe|to fabricate|to design;C1;Ich interessiere mich nicht sehr für konstruierte Sprachen.;I'm not very interested in artificial languages.;9116
geprägt;coined|embossed|shaped|formed|molded|characterized;C1;Hoover wurde 1874 in dem landwirtschaftlich geprägten Bundesstaat Iowa geboren.;Hoover was born in the farm state of Iowa in 1874.;9117
die Psychologin;psychologist;C1;Die Psychologin stellte mir eine Reihe von Fragen.;The psychologist asked me a series of questions.;9118
konstruiert;artificial|constructed;C1;Eine Studentengruppe konstruierte eine orthopädische Hand unter Nutzung von 3D-Druckern.;A group of students built an orthopaedic hand using a 3-D printer.;9119
